# A,# B,# C,# D,# E
3514,-6446,-773,-4245,-515
2431,-2247,-2631,-3428,188
1787,-2940,-296,-6864,81
-818,-9201,428,-4281,-354
-1289,1589,-239,-4200,1859
-1566,-5124,2404,-6614,-875
-1531,-4261,2300,-2235,2360
-687,1812,1546,-3296,1163
723,-962,2319,-2717,961
2104,-1295,-150,159,3655
2880,5079,-1272,612,679
4965,416,-3567,276,3257
4747,3424,-5147,2927,2244
4550,2961,-5248,2841,1231
4659,3658,-7492,1847,2364
3134,2966,-6648,4333,311
1680,2351,-7925,3586,281
207,4291,-5605,2459,-21
-1553,2785,-4790,4878,-1452
-3918,1138,-3000,3229,-1507
-4848,5225,740,3167,-1688
-5711,1235,1528,4108,-3188
-7312,1988,3921,3189,-2128
-7353,4016,6000,2555,-3156
-7871,1413,4435,3272,-3279
-8509,1591,5602,2352,-2339
-4795,2953,4358,1196,-3446
-4041,1141,2587,2492,-2321
2631,1235,2182,544,-2314
-569,867,1312,326,-2685
3086,1235,633,864,-1569
7692,-480,-1321,-905,-2440
800,-614,179,-748,-2147
4511,627,-810,-829,-2105
3240,-3211,-1468,-2347,-2715
-2617,-1734,1780,-2335,-2740
-559,-2413,-290,-2790,-2800
-3104,-5001,1493,-4186,-3460
-5654,-5545,3014,-4524,-2314
-4149,357,1692,-3156,-3925
-3833,-10151,2446,-6338,-1490
-2256,-2375,1918,-4922,-2622
52,-1383,-516,-3747,-1095
2905,-7838,-797,-6944,115
4221,-166,-3938,-2787,-308
5509,-192,-4250,-3392,1876
6039,-3394,-4943,-3482,1616
5220,2331,-6747,-234,2095
3849,1750,-6211,-2,2884
2498,1275,-6711,-40,2319
350,2215,-4948,2437,2607
-1024,3413,-4315,2524,2534
-2025,3285,-1635,1706,2150
-2349,884,633,3993,1951
-1648,4555,1737,3444,2181
-999,3752,4788,2472,1231
969,-335,5118,4727,1797
2775,5939,4796,3192,1196
3830,2466,5998,3176,856
5563,590,3911,4465,1136
5670,5309,3276,2717,235
5539,2078,2875,3270,298
4832,1159,1504,3198,52
3556,3694,1383,2286,-594
1732,2076,-110,1934,-115
-465,942,369,2211,-1109
-1632,1618,6,831,357
-3650,2035,-244,752,-1462
-5054,-617,1449,802,685
-5141,-22,628,-749,-172
-6060,1129,1826,-311,165
-5993,-2668,2500,-922,2049
-5705,-1662,2196,-2190,231
-5723,-1477,2283,-1787,2813
-5728,-4321,1535,-3027,1770
-4009,-5260,177,-3678,1923
-3354,-2510,-690,-4248,2870
1357,-3606,-3321,-3622,1234
1637,-9787,-3107,-5346,2115
-528,1807,-4848,-5484,1188
6779,-7212,-5582,-3562,685
1876,-4735,-5213,-6741,633
1350,1090,-6776,-3346,-35
4319,-3013,-3852,-3358,-528
-1066,-1898,-4218,-3904,-417
-1177,3565,-1926,-508,-1196
-773,53,945,-537,-1147
-4016,1624,1178,-123,-1077
-3262,2629,4248,2061,-1692
-3240,4168,4987,2235,-1182
-1922,433,4523,1836,-1360
-746,3558,5851,3807,-1623
424,4747,4429,3374,-958
3871,276,3756,2839,-1629
3929,3518,3297,4748,-1357
2610,5122,2238,3408,-1402
6103,-328,2497,3527,-2020
2296,4146,-1,4913,-1811
1254,3963,1478,2959,-2037
2775,298,443,3857,-2737
-1403,2999,-301,3859,-2100
-810,3240,2190,2314,-2726
-138,253,156,3034,-2020
-1223,1453,1767,2358,-2209
68,2499,2461,1257,-1384
1210,-812,1531,1517,-794
2996,74,2480,829,-437
2998,1034,1407,-326,1158
4500,-1942,405,115,843
5821,-1986,-138,-950,2384
3907,-529,-2055,-1871,2433
4673,-4731,-3115,-1470,2654
4221,-3124,-3275,-3142,3257
1284,-5768,-4909,-3330,2726
978,-573,-4574,-3967,2951
-236,-9732,-5884,-4176,2705
-2357,-2437,-3847,-4538,2342
-2966,-2097,-4159,-5923,2238
-3445,-9084,-2297,-3854,1985
-4509,884,339,-6350,1639
-4723,-1984,322,-4205,1468
-4205,-4241,3555,-3622,1259
-4811,2896,4300,-4232,752
-4819,580,4004,-1322,818
-4383,334,5716,-1200,225
-5933,2448,4437,-429,26
-3083,3672,3967,1237,-32
-4381,1206,4092,1688,-455
1275,1829,2277,1726,-622
-848,5434,3269,3162,-144
-1057,411,1199,3142,-767
5678,2285,1027,2965,158
-379,5498,1623,4346,206
1761,31,-131,3571,553
3970,3146,1591,3819,1317
-1616,4409,991,4847,1707
143,865,1038,3466,1989
-392,2351,2180,4331,2887
-3663,3842,1679,4163,2629
-2456,803,2253,2960,3093
-2822,1327,1636,3716,3122
-2117,3173,1395,2690,2581
-1254,-277,286,2014,2705
-120,414,-319,2168,1979
2823,1603,-1951,1097,1510
2222,-1463,-2515,466,1335
2338,-1595,-3563,537,382
5602,270,-3757,-695,423
1755,-4888,-5109,-1142,-168
2900,-2023,-4731,-1250,-508
3621,-5610,-3388,-2727,-496
-263,-2902,-4339,-2770,-948
1509,-4963,-917,-3689,-947
667,-8207,-247,-4211,-916
-542,701,574,-3765,-1213
950,-9923,3813,-5885,-956
685,-1844,3269,-4232,-1092
2425,-1288,4072,-5367,-1105
2528,-5432,5275,-5281,-1095
3361,898,3700,-3467,-1077
4887,603,4110,-4294,-1434
3201,-742,3501,-2356,-1281
4156,1979,2500,-1344,-1780
3684,2389,3044,-775,-1714
1246,2019,599,355,-1912
1316,764,1825,1503,-2049
-263,4889,643,1521,-2095
-1842,1387,34,2350,-1521
-2323,1265,1745,3191,-1768
-3242,5585,30,2709,-1314
-3701,590,1481,3738,-102
-4237,2551,1911,3843,-936
-4172,4962,1370,3483,1314
-4445,788,2521,4581,857
-4606,2852,1715,3846,1440
-4654,3749,1445,4057,2762
-5196,1094,1008,4299,1772
-6189,1911,-125,3375,2828
-3716,2966,-1288,3614,2654
-5397,429,-1923,3098,2067
199,548,-3561,2412,2626
-735,2214,-3015,2247,1957
-1677,-1427,-5221,1600,1619
5640,-650,-4640,825,1898
620,237,-3331,695,1080
2518,-3671,-4866,-151,1081
4653,-2694,-1160,-817,1090
-14,-2420,-703,-1005,305
1329,-7198,-110,-2061,616
174,177,3416,-2503,276
-2445,-10058,2685,-3076,-263
-1956,-1463,3650,-4030,412
-3115,-5354,4985,-3395,-588
-1937,-6482,3453,-5013,92
-1896,-385,3891,-4838,0
-58,-4966,3376,-4299,-105
1624,-1420,2322,-5687,818
1906,257,2584,-3745,601
3855,-953,599,-3894,1263
4069,1346,1241,-3312,1904
3814,570,278,-1469,1919
3822,2819,-188,-1082,2698
2849,134,985,-177,2942
1838,2794,-21,1130,2898
1182,2730,1068,1528,3411
84,452,1597,1801,3017
24,3547,1608,3098,2849
-130,2649,2413,2779,2761
-140,946,2191,3272,1933
1469,4340,2084,4051,1758
1419,2247,1582,3383,1228
2578,1866,841,4329,560
3816,3816,-548,4211,455
3160,2031,-1510,3734,-99
3970,1805,-2898,4561,-423
3692,2816,-3294,3440,-427
2472,1645,-4520,3648,-958
1755,456,-5487,3341,-811
587,2197,-3763,2555,-1001
-697,-214,-5102,2340,-1147
-1495,-566,-2939,1882,-948
-2629,-181,-1150,883,-1109
-3216,-1457,-1288,823,-1140
-3407,-4108,1944,-2,-934
-3945,-668,2462,-689,-1276
-3952,-7456,2661,-1003,-1153
-4153,-752,4487,-1731,-1389
-4402,-6625,3525,-2563,-1636
-4534,-6240,3350,-2608,-1737
-4102,-1041,3487,-4146,-1777
-5073,-9179,1875,-3482,-2279
-4031,-847,2358,-4361,-1840
-3682,-3829,984,-5313,-2193
-1903,-3512,182,-4298,-1699
1755,116,833,-5303,-1654
-1627,-899,-762,-4880,-1150
3846,342,545,-3604,-595
3967,474,452,-3943,-314
1236,2434,340,-2384,658
5210,594,1903,-1144,647
2354,1537,1709,-854,1461
392,3620,2477,536,1598
1636,280,2975,1526,1712
-1495,2902,2491,1426,2007
-2415,3298,2548,2723,1796
-2515,1083,1774,3051,1846
-2924,3360,592,2935,1765
-2361,3592,-611,4029,1538
-1703,1376,-2090,3784,1506
408,3614,-3309,3927,1319
1608,3173,-3860,4795,1175
2361,1199,-5487,3690,1052
3637,3255,-5668,4797,936
4438,2159,-4628,3897,682
3293,492,-5507,3836,714
3886,2375,-2982,3734,344
2819,621,-1755,3056,377
1127,-449,-1186,2654,133
1283,156,1825,2305,81
524,-687,2042,1447,-21
-528,-3477,2670,962,190
200,-1237,4114,581,-193
624,-4867,2943,-427,765
465,-4443,3156,-689,522
2056,-1493,2809,-1352,546
2778,-10255,1455,-2186,2266
2781,463,1739,-2459,704
3843,-8390,574,-3413,2919
3851,-4074,-174,-4097,2402
3310,-2023,394,-3503,2264
2729,-5025,-500,-5402,3800
1908,-1164,206,-4619,2264
293,-734,827,-4962,3118
-816,-558,616,-5417,2786
-1770,-75,2024,-4353,1688
-3275,1634,2275,-3888,2206
-3639,1345,2624,-3697,1140
-3830,-90,3314,-1697,674
-4739,4023,2859,-1327,850
-3827,508,2655,-434,-185
-4493,1888,2116,1059,-185
-4182,3710,770,1231,-180
-3874,1380,-434,1867,-1188
-3514,2470,-2135,3027,-591
-4310,4259,-3276,2744,-1200
-1961,1785,-4565,3548,-1584
-2181,2942,-5095,4060,-961
1142,4164,-6544,3612,-1936
505,1397,-5680,4677,-1450
687,3032,-5493,4282,-1581
4854,3151,-5151,4021,-2080
903,698,-2488,5000,-1601
2928,2240,-2196,3342,-2219
3262,1830,-173,4307,-2138
-456,-551,1792,3271,-2174
669,1006,1585,2895,-2398
-733,-728,3284,2613,-2261
-3229,-1687,3041,1994,-2238
-2463,-2573,2535,1064,-1922
-3173,-1851,2719,1054,-1642
-2870,-6963,1594,-28,-1346
-1746,700,1261,-469,-445
-521,-9343,1005,-869,-399
1201,-3083,-34,-1787,699
1575,-3467,69,-2238,1010
3838,-8592,194,-2615,1336
4092,-576,-146,-4030,2130
2919,-5149,975,-3600,1808
5064,-3159,1067,-4345,2292
2639,-638,1540,-5417,2157
1627,-958,2794,-4498,1913
2224,-898,2592,-5779,2024
-107,745,3353,-4897,1604
-154,1964,3379,-4755,1486
340,-1218,2767,-3896,1324
-271,3270,2652,-3595,1057
101,1507,1499,-1561,856
1658,226,24,-1639,811
1915,3845,-948,60,431
2445,1653,-3160,842,440
3756,1409,-4245,1206,251
3718,4310,-5065,2220,-4
3304,1925,-6277,2737,87
3521,2556,-6990,2766,-193
2235,3852,-6236,3765,-203
892,2353,-6282,3552,-130
84,1987,-5305,3963,-342
-1265,3933,-2969,4391,-71
-2690,1037,-2566,4020,-137
-3112,1858,-254,4271,130
-3450,2698,1401,4306,749
-4075,-97,1477,3604,99
-3695,1356,3133,3844,1856
-3224,401,2789,3154,648
-3800,-1144,2505,2715,2070
-3053,-814,2574,2276,2097
-3569,-2035,1572,1778,1677
-2838,-3294,1276,784,2982
-3102,-4307,1177,785,1808
-3325,5,73,-463,2367
-2344,-10601,325,-701,2070
757,1290,661,-1287,1223
-1495,-7412,21,-2181,1380
10,-5800,1734,-2499,510
3627,-229,1385,-3123,133
-624,-6354,2117,-4331,-89
2598,-1767,3362,-4034,-595
2762,-242,2844,-4729,-982
-762,-1627,3870,-5904,-856
1085,-767,3560,-4573,-1611
-200,2269,2812,-6541,-1339
-2646,33,2919,-4834,-1594
-1983,-287,1297,-5231,-1979
-2556,4691,224,-4184,-1584
-2804,-1056,-1148,-3606,-2056
-2101,2607,-3049,-1937,-1986
-672,3793,-4829,-1635,-1742
353,378,-5451,17,-2254
845,3400,-6874,789,-1859
3546,4138,-7215,1264,-2073
2980,1067,-7472,2426,-2191
3389,4306,-6868,2700,-2115
4800,3582,-6110,3005,-2084
2785,1393,-4752,3933,-2198
2889,4223,-2847,3553,-2100
2416,2543,-1767,4411,-1433
595,1118,315,4238,-2084
457,3328,1522,4180,-710
-17,1345,2007,4543,-762
-674,200,3043,4035,-581
-313,2537,2587,3864,954
370,-1572,2441,3792,133
861,416,2096,2847,1392
1690,-1742,1404,2857,1500
2910,-1854,1192,1981,1080
3171,-4577,806,1356,1958
3551,-994,643,817,1248
3989,-4881,468,117,1256
2813,-7011,1154,-681,1445
2214,1180,1187,-921,702
1337,-10945,1979,-1909,857
-412,-354,2633,-2334,661
-1428,-3671,2782,-2763,117
-2489,-5698,3658,-3726,379
-3563,298,3597,-4151,-49
-3883,-1270,3537,-4928,-284
-4307,-2060,3445,-4656,-62
-3826,1335,2500,-6552,-560
-4050,1690,1926,-4698,-462
-4108,-1585,753,-7081,-367
-3158,3532,-529,-5125,-800
-3374,1904,-2105,-5560,-420
-3083,-584,-3498,-4817,-573
-2565,5139,-5133,-3507,-629
-2989,1189,-6550,-2663,-288
-848,1479,-6561,-1488,-440
719,5218,-7878,-231,-322
-2338,1698,-7394,801,522
2248,2721,-7311,1250,-17
1166,5269,-6357,2705,793
-877,1268,-5310,2588,1070
3047,3512,-3710,3437,775
-309,4219,-2300,3952,1913
-816,687,-908,3774,1406
741,3472,654,4654,1695
-2124,2329,1452,4170,2093
-2056,374,1948,4742,1298
-1729,2351,2483,4063,1622
-2320,695,1986,4718,1080
-1680,-1488,2099,3565,379
-1001,1642,1549,3937,469
460,-3728,1594,3171,-344
653,-899,1249,2470,-648
1835,-4987,1466,2389,-573
3543,247,1440,1150,-1405
2458,-8775,1587,807,-1150
3412,-1197,2395,109,-1455
3977,-4276,2286,-748,-1838
1956,-8680,3103,-1157,-1472
2518,1592,3240,-1734,-1941
1838,-7652,3236,-2659,-1906
194,-2277,3661,-2634,-1692
815,166,2990,-3801,-2087
81,-3006,2878,-4091,-1772
-184,-306,2125,-5135,-1850
675,1911,1305,-4843,-2083
899,-451,596,-6148,-1821
1754,122,-492,-6107,-2178
2486,4518,-1561,-5657,-2160
3079,-1433,-2590,-7609,-2118
3639,3306,-4057,-4295,-2247
3499,3600,-4554,-6815,-2238
3275,123,-6554,-3520,-1705
2559,4372,-5890,-3740,-2156
1393,3807,-7046,-2032,-1235
271,1034,-6964,-896,-1122
-834,5657,-6479,520,-1029
-2419,3119,-6710,1042,87
-2871,1676,-5083,2402,-354
-3694,5911,-4767,3051,434
-4431,1477,-3124,3125,622
-4032,2529,-1918,4393,304
-3897,4357,-868,4001,830
-4351,341,724,4518,465
-3143,2522,1071,5100,326
-4131,2373,1929,4203,486
-2861,-979,2324,5131,11
-2878,1339,2123,4161,-8
-3791,-299,2634,4464,-52
-1755,-3178,2312,3590,-455
-566,-375,2556,3744,-349
-1639,-5317,2725,2361,-475
-502,178,2446,2665,-762
1742,-9103,3129,1216,-475
-973,631,2618,952,-828
1414,-7772,3034,147,-682
1525,-4702,3279,-690,-685
-899,-845,2601,-1115,-710
793,-7678,3236,-1774,-734
-2,50,2532,-2442,-420
-1895,-1976,2260,-2808,-868
-831,-2046,2248,-3387,392
-1437,656,1264,-4166,-647
-1820,1037,1115,-4265,402
-809,-409,608,-5819,609
-190,1866,-289,-4636,-1
297,2940,-334,-6809,1787
1151,-757,-1422,-5690,235
2397,4970,-1930,-6024,1755
2472,1332,-2749,-7016,1143
2860,2142,-3579,-4230,1042
3951,4569,-4485,-6132,1409
2572,2500,-5735,-3055,490
2980,2965,-5010,-2989,619
2738,5358,-7141,-1352,49
1145,1929,-5900,-326,-294
1605,4025,-6821,1482,-676
832,4388,-6582,1248,-828
101,1479,-4993,3415,-1346
886,4109,-5175,3101,-1371
505,2471,-2999,3734,-1553
1053,1250,-1704,4571,-1996
1944,3028,-824,4076,-1576
2031,862,1587,4665,-2231
2813,-75,1734,4735,-1913
2990,1603,3052,4176,-1974
3005,-2155,3970,4581,-2234
2575,-1024,3603,3847,-1796
1899,-2382,4565,3922,-2185
1065,-3984,4199,3071,-2002
-236,-777,4034,3201,-2042
-1274,-8720,4408,1817,-2136
-2288,888,3255,2115,-2181
-3352,-9004,3712,732,-2140
-3893,-2512,3091,463,-2402
-4553,-3230,2307,-262,-2338
-4217,-5818,3011,-1014,-2256
-4769,-426,1556,-1418,-2256
-4553,-2303,1915,-1912,-2059
-4249,-1213,1801,-2599,-1831
-4311,258,842,-2756,-1633
-3464,1133,1566,-3347,-1175
-3694,-485,731,-3904,-934
-2979,2448,693,-4041,-566
-1507,1951,764,-5203,-190
-396,228,85,-4767,-52
-1591,4666,36,-5303,253
1361,840,-461,-6417,339
832,3162,-1311,-4176,316
-8,3732,-1749,-7371,440
2413,2675,-2955,-3462,243
279,3468,-3471,-5402,256
-107,4494,-5415,-3300,147
911,2408,-5474,-2184,29
-1348,3952,-6250,-1325,4
-1419,3852,-7500,31,-147
-1119,1779,-6188,1611,-190
-2028,3882,-8045,1901,-256
-1411,2020,-5819,3154,-342
-732,1517,-5495,3898,-133
-181,2763,-4560,3763,-223
574,317,-1670,4605,-487
1614,497,-1177,4684,532
2437,713,1339,4097,-657
2428,-1955,3015,5343,838
3400,-993,3382,3672,171
3219,-3014,5290,4843,281
2862,-3592,5142,3504,1384
2829,-1393,5249,3839,122
2075,-8548,5706,3044,1468
1543,301,4622,2763,860
1198,-8908,4568,2050,748
738,-3020,4089,1660,1283
588,-3558,2776,910,431
619,-5877,2985,286,730
1066,-1115,1846,-170,434
1361,-2331,1422,-1022,84
1895,-1660,1638,-1328,-74
2604,-31,664,-1721,-133
2714,969,1056,-2510,-797
3051,-862,1047,-2236,-522
2894,2510,587,-3193,-1014
2290,1534,1264,-3042,-1291
1804,368,756,-3711,-954
655,4492,809,-3865,-1671
-482,748,908,-4905,-1231
-1353,3320,330,-3666,-1483
-2588,3761,334,-5745,-1679
-3357,2402,-235,-4527,-1357
-4015,4028,-863,-4357,-1671
-4428,4086,-1440,-6130,-1614
-4303,2455,-2372,-2263,-1465
-4731,4481,-3416,-4992,-1884
-4028,3009,-3784,-1655,-1543
-4400,2489,-5866,-1423,-1909
-4027,3651,-6044,-326,-1226
-3049,1734,-6175,1083,-1503
-3749,1896,-7840,2434,-2030
-2567,2550,-5834,2445,-452
-850,-19,-7673,4025,-2122
-1036,1159,-5480,4142,-606
-1184,-24,-4374,3904,-895
2002,-1569,-3915,5181,-1276
-181,-988,-444,4084,-43
911,-3028,102,4480,-874
2517,-4228,2370,4804,-339
-245,-561,4618,3316,-158
953,-9248,4545,4563,-349
1007,-372,6518,2879,-11
-1427,-7551,6315,3279,221
-467,-5511,6059,2579,115
-1004,-2266,6392,2011,505
-1887,-6822,5097,1538,730
-909,-2054,4615,1192,371
-667,-1991,4004,243,1098
-255,-2307,2951,28,595
536,-711,1918,-591,843
1597,1347,2057,-1307,1080
1947,-1302,737,-1287,560
2370,1947,687,-1833,1136
3322,2269,1166,-2263,833
2836,-463,-328,-1888,833
2899,4625,1247,-2887,1127
3371,1115,556,-2361,822
1725,2581,409,-3073,1021
2150,4181,1689,-3104,1118
1825,2378,334,-3847,972
437,3474,1377,-3233,1178
1691,4703,1205,-4074,1209
946,1808,444,-4341,1074
883,4588,1115,-2845,1352
2245,2976,40,-5460,1234
1732,2109,-299,-1729,1146
2464,3698,-417,-3821,1370
3054,1512,-1796,-1546,956
2726,1700,-2046,-565,1074
2910,2539,-2801,5,893
2490,-213,-3863,1498,528
1799,1239,-4998,2688,594
994,-226,-5031,2821,150
93,-1310,-6191,3946,-52
-953,-1232,-5798,4419,-125
-1911,-2324,-5242,3776,-566
-2502,-5124,-6651,4979,-591
-3287,-844,-2963,4066,-800
-3453,-6922,-3897,4004,-1087
-3628,-5247,-1575,4474,-1010
-3830,-2495,1449,2970,-1308
-3246,-10136,970,3962,-1262
-3486,-1345,4667,2587,-1346
-3210,-6581,5552,2683,-1367
-3203,-4800,5380,2210,-1380
-2957,-1589,7706,1606,-1399
-2992,-2649,6276,1227,-1349
-2903,-2265,6128,894,-1471
-2682,1429,6300,65,-1352
-555,-654,4052,-65,-1425
-2358,-89,3973,-562,-1488
-687,3809,2765,-1195,-1263
1315,-712,1143,-1017,-1528
-1432,3236,1632,-1564,-1210
2043,3416,-283,-1652,-1234
1464,759,4,-1452,-1200
-142,4924,189,-1979,-609
2483,2775,-1290,-1671,-857
481,2885,741,-1774,-112
-199,4778,-363,-2269,35
947,2909,224,-1859,241
-840,2851,1534,-3021,997
-581,4673,340,-2019,923
-123,1254,1819,-3034,1472
-447,3488,1526,-3252,1734
52,2430,1113,-1974,1762
594,676,1932,-4336,2095
1277,2805,862,-1009,2049
1303,451,1137,-2978,1974
2161,127,780,-641,2076
2663,1349,203,-214,1849
2095,-2243,22,767,1759
3117,-111,-492,1626,1727
2839,-2382,-1168,2978,1462
1642,-3529,-1428,2712,1425
3018,-4069,-2013,3943,1395
1444,-2252,-3201,3847,1165
1316,-8354,-3697,3595,1289
2194,-3232,-4161,4155,1223
1318,-6010,-5528,3473,1122
1637,-8826,-3192,3297,1387
2262,-1638,-5798,3590,1158
2171,-8302,-4625,2218,1415
2130,-3549,-1514,3279,1455
3003,-1805,-5095,1617,1370
2482,-3698,1074,2202,1654
2079,-739,327,1415,1510
2585,1308,619,1009,1584
1258,-1473,5890,810,1682
710,2230,3234,403,1480
523,2815,5602,-217,1525
-988,-343,6951,-68,1462
-1255,5322,4068,-842,1203
-1732,1788,6077,-735,1221
-2582,2631,4330,-921,976
-2368,5428,2488,-1036,720
-2617,2129,3347,-980,685
-2892,4225,485,-753,263
-2488,5171,156,-1101,106
-2393,1698,-150,-486,-46
-2613,4979,-841,-993,-445
-2531,3327,-1870,-685,-475
-2448,1248,-250,-1014,-693
-2944,4897,-1492,-1184,-913
-2921,211,-932,-1930,-835
-2525,2225,1495,-688,-1119
-3647,2155,-795,-3407,-1087
-1448,-537,2577,-889,-1095
-1540,1275,2078,-3034,-1238
-2674,60,1691,-2311,-1077
1277,-2541,4380,-975,-1160
-616,551,2040,-2338,-1108
364,-4034,3554,275,-958
3098,-3090,3573,52,-1077
524,-4402,1930,1057,-591
2364,-3829,3558,2126,-67
2815,-7370,2126,2579,-919
560,-5205,1686,2566,901
1829,-5988,2535,3637,-21
874,-9568,616,2816,661
-202,-2504,1035,3044,1724
354,-8872,856,3324,550
-203,-3741,-907,2131,2059
-231,-2511,-431,2744,1720
1,-3757,-1817,2189,1209
575,-302,-3484,1428,2279
659,768,-3025,2136,1100
1130,-559,-5588,983,1412
2121,2589,-4557,850,1573
1964,2910,-3974,1211,770
2809,781,-8532,-155,1281
2794,5574,-1336,515,1087
2797,2153,-6508,36,661
3038,3655,-3284,-633,1158
2438,5395,1056,102,737
2633,2559,-3337,-701,689
2097,5168,3659,-565,992
1716,4423,3288,-65,601
2211,2837,1900,-743,682
1403,4771,6895,-65,1032
1409,2957,3184,92,556
1985,2437,4066,-345,1064
1076,3610,4835,486,1035
1722,1043,1573,39,780
1624,2035,2581,-89,1364
1069,1660,1532,288,989
1411,-71,-527,-764,1125
771,1144,583,-850,1382
348,-394,-800,-1020,1001
42,-1574,-708,-1650,1279
-558,-391,503,-2601,1228
-1062,-3038,-351,-1161,979
-1562,-3310,245,-4111,1150
-1639,-3739,2339,-1130,916
-2318,-6179,847,-2877,712
-2256,-3313,3525,-1822,805
-2386,-9791,3587,-520,402
-2700,-3738,3130,-836,322
-2424,-9345,5566,437,305
-2711,-6878,4138,1304,-161
-2668,-4914,4713,902,21
-2543,-7617,5349,1958,-197
-3150,-2825,3725,1953,-440
-2349,-2719,4508,1402,-188
-3144,-2126,4144,2215,-560
-1348,636,2844,1561,-430
-1813,1343,3617,1140,-407
-1502,818,2420,2045,-553
553,4131,1621,546,-374
-774,2666,1953,1293,-440
1447,3211,85,1287,-450
1607,5624,-177,15,-395
1188,2797,-687,1266,-392
2688,5445,-3126,267,-540
1806,4589,-2474,-36,-396
1658,4029,-5010,983,-550
1896,5161,-6060,-486,-568
668,3881,-6469,398,-540
821,4012,-8674,384,-699
374,3515,-8788,-293,-573
-8,3358,-6099,626,-648
309,2155,-11842,395,-609
18,2856,-5019,18,-434
555,1292,-6229,1235,-500
681,1396,-7463,315,-228
1037,1459,1764,894,-175
1741,-119,-2952,1250,-39
1646,958,2093,411,259
2316,-819,6558,1004,263
2583,-885,2330,724,515
2714,-1211,8116,-382,682
2499,-2471,6906,353,633
2733,-3250,4514,-1582,1032
2458,-3918,7747,-1161,812
1880,-5824,3983,-1747,1035
2235,-3401,3368,-3355,1049
1530,-9013,4435,-1880,910
1207,-4659,429,-4390,1122
1614,-7348,1614,-2325,895
752,-8138,770,-3598,951
953,-3268,-982,-2351,973
1210,-7425,847,-2069,815
467,-2587,-869,-1200,919
1024,-1653,1522,-743,838
786,-1600,214,199,812
351,1129,1697,398,825
649,2464,3344,829,878
5,1591,1890,1229,749
-206,4416,5400,1064,885
-465,4225,4084,1389,835
-887,3122,5011,1420,730
-1127,6552,6289,1148,913
-1443,3518,4575,1582,692
-1648,5227,5744,1184,730
-1874,5547,4194,1496,805
-1911,3815,3683,1264,518
-1992,5276,3192,1540,679
-2238,4321,1424,1001,475
-1905,3472,1471,1705,367
-2188,3936,-259,931,412
-2272,2944,-761,1575,143
-2027,2046,-1484,1237,137
-2368,2778,-2621,1258,24
-2354,755,-2788,1464,-161
-2043,1254,-3641,1256,-137
-2450,1041,-3995,1349,-311
-1156,-518,-4425,1431,-440
-909,797,-4856,1250,-385
-1419,-927,-5085,1402,-641
1123,-1096,-6285,1412,-609
197,-885,-5811,1261,-619
985,-2485,-8225,1449,-856
2724,-2503,-6493,1161,-685
1268,-3229,-8641,1049,-903
2482,-5313,-5370,852,-895
2780,-3961,-8588,374,-934
1289,-5018,-5439,-121,-994
2124,-8208,-2744,-680,-1059
1387,-2994,-6128,-1896,-1059
470,-9036,3049,-1668,-1100
960,-4450,-272,-3233,-1105
280,-3880,2896,-3397,-1147
149,-5708,8099,-3517,-1092
434,-288,3885,-5099,-1080
440,-1030,8408,-3080,-1090
542,-57,7735,-5033,-913
973,3362,4538,-2644,-994
1305,2567,7056,-3206,-830
1678,3126,3428,-1623,-710
1854,5917,2158,-1312,-727
2075,3361,2616,-50,-513
2339,5185,-835,-39,-459
1879,6108,-518,1083,-349
2187,3181,-1070,1086,-228
1690,6372,-2743,1397,-117
1350,4156,-1749,1969,-17
1280,3716,-2010,1697,19
819,5300,-2007,2098,197
440,2997,-1718,2274,60
465,2783,709,1938,361
148,4068,-729,2542,193
-21,453,1153,2053,346
318,2867,3116,2481,304
4,1120,831,1990,251
190,-376,4821,2359,385
364,2001,3736,1745,188
56,-1207,2838,2157,360
241,347,5976,1548,183
4,130,2325,1684,270
-159,-1580,4019,1436,279
-329,-235,3674,1224,203
-658,-1389,955,1190,349
-783,-2367,3165,1025,314
-1178,-1246,601,764,371
-1377,-3704,440,963,399
-1402,-3508,1308,568,405
-1847,-4093,-1249,844,374
-1711,-4104,141,648,399
-1954,-5951,-967,724,322
-1921,-4635,-1957,554,284
-2041,-5428,-1003,557,238
-2220,-6083,-2652,10,84
-1890,-2528,-2937,44,74
-2377,-4910,-2868,-1054,-102
-2002,-1174,-4937,-1182,-183
-2089,-170,-4657,-2555,-245
-2198,88,-5653,-2779,-462
-348,2794,-7252,-3552,-475
-1765,3212,-7540,-4610,-667
-199,3226,-8099,-4215,-773
969,5098,-9635,-5878,-822
-409,4371,-6497,-4187,-944
2210,4270,-8576,-5522,-986
1624,5812,-8244,-3582,-1052
1162,3651,-1754,-3632,-1080
3047,4955,-7563,-2288,-1115
1357,4450,1033,-1354,-1102
1575,3100,957,-458,-1213
1924,4530,-379,324,-1098
270,2547,7046,1101,-1262
794,2708,3035,1527,-1216
281,2397,4282,1899,-1150
-366,1097,7112,2367,-1409
40,1096,1519,2380,-1178
-321,850,4270,2579,-1412
-159,-781,2462,2824,-1371
11,407,-372,2319,-1216
219,-958,1620,2887,-1392
809,-911,-756,2351,-1199
527,-136,-1483,2513,-1153
1172,-1562,354,1963,-1137
1418,-574,-2025,2215,-1049
687,-902,-281,1086,-822
1759,-1730,-381,1838,-881
854,-870,-750,581,-613
639,-1793,-268,923,-486
